Pitcher Name,player_id,Games Played,IP,Batters Faced,Strikeout,Walks,K%,BB%,Earned Runs,Runs Allowed,Wins,Losses,ERA,Games Started,Avg. Exit Velo.,Sweet Spot%,Barrel%,Hard Hit%,EV50,Adj. EV50,Whiff%,Swing%,GB%
"Wainwright, Adam",425794,21,101,484,55,41,11.4,8.5,83,89,5,11,7.4,21,89,40.6,11.1,38.8,78.20171099,93.99766052,13,41.3,41.1
"Greinke, Zack",425844,30,142.1,593,97,23,16.4,3.9,80,82,2,15,5.06,27,89.6,32.6,7.7,38.8,79.09991318,94.18276731,17.3,46.8,43.7
"Verlander, Justin",434378,27,162.1,669,144,45,21.5,6.7,58,63,13,8,3.22,27,90,30.5,8.2,41.3,79.99040602,94.26951297,22.5,49.6,36.2
"Jansen, Kenley",445276,51,44.2,188,52,17,27.7,9,18,21,3,6,3.63,0,89.8,29.9,6.8,35.9,80.87029931,93.55674661,29,52.1,21.4
"Chavez, Jesse",445926,36,34.2,144,39,12,27.1,8.3,6,10,1,0,1.56,1,87.1,33.3,3.3,33.3,76.76614289,92.87025674,28.3,41.3,52.2
"Kluber, Corey",446372,15,55,257,42,21,16.3,8.2,43,47,3,6,7.04,9,89,40,12.1,40.5,77.692312,94.30388069,20.9,48.9,30.5
"Hill, Rich",448179,32,146.1,660,129,58,19.5,8.8,88,98,8,14,5.41,27,89.4,37.3,10.1,39.9,78.8506176,94.13526784,19.3,45.4,39
"Morton, Charlie",450203,30,163.1,716,183,83,25.6,11.6,66,70,14,12,3.64,30,88.9,36.8,7.8,39.1,77.30793493,94.40007395,32.2,42.9,44.2
"Bard, Daniel",453268,50,49.1,232,47,49,20.3,21.1,25,30,4,2,4.56,0,87.1,30.5,10.2,31.3,75.78591906,93.29609086,21.7,40,36.7
"Scherzer, Max",453286,27,152.2,621,174,45,28,7.2,64,65,13,6,3.77,27,88.5,32.2,8.5,36.9,77.75141687,93.79083365,28.6,51,33.7
"Martin, Chris",455119,55,51.1,199,46,8,23.1,4,6,6,4,1,1.05,0,84.5,35.9,2.1,31,72.03370181,92.71256643,23.3,58.3,50.3
"Cueto, Johnny",456501,13,52.1,218,39,15,17.9,6.9,35,36,1,4,6.02,10,88.2,37.3,10.6,36.6,77.12451288,93.84006635,19.3,52.4,34.2
"Lynn, Lance",458681,32,183.2,808,191,67,23.6,8.3,117,127,13,11,5.73,32,88.7,35.2,10.4,39.3,77.06547687,94.31393619,28.7,50.1,36.3
"Carrasco, Carlos",471911,20,90,417,66,38,15.8,9.1,68,71,3,8,6.8,20,91.5,37.5,10.7,48.2,80.85317331,95.65438964,24.7,46.9,45.6
"García, Luis",472610,61,59.2,267,53,24,19.9,9,27,30,2,3,4.07,0,87.1,27.2,4.9,36.4,75.00247956,93.71457669,25.4,47.5,60.9
"Kershaw, Clayton",477132,24,131.2,523,137,40,26.2,7.6,36,39,13,5,2.46,24,89,34.7,9,39.1,77.97043795,94.20990047,28,49.6,47.8
"Hunter, Tommy",488984,14,23.2,106,20,5,18.9,4.7,18,20,0,1,6.85,0,88.6,34.2,12.7,43,76.68430825,94.4536762,18,51.5,46.8
"Miley, Wade",489119,23,120.1,490,79,38,16.1,7.8,42,44,9,4,3.14,23,87.3,30,7.6,31.3,76.41179978,93.14768366,18.8,45.1,47.4
"Yates, Kirby",489446,61,60.1,254,80,37,31.5,14.6,22,22,7,2,3.28,0,90.6,34.8,10.6,40.2,81.56319815,94.2863883,30.8,45.5,37.9
"Ottavino, Adam",493603,66,61.2,261,62,29,23.8,11.1,22,24,1,7,3.21,0,88.6,24.1,3.7,40.7,77.40998188,94.07735919,26.1,41.9,56.2
"Quintana, José",500779,13,75.2,319,60,24,18.8,7.5,30,33,3,6,3.57,13,88.1,36.8,5.1,32.5,77.6688459,93.35828734,21.6,45.5,41.9
"Gibson, Kyle",502043,33,192,807,157,55,19.5,6.8,101,101,15,9,4.73,33,89.7,33.4,7.6,44.5,78.37767336,94.78738079,25.3,45.6,49.7
"Robertson, David",502085,62,65.1,269,78,25,29,9.3,22,28,6,6,3.03,0,89.3,30.1,6.1,37.4,78.88345713,93.98846363,31.2,45,44.2
"Cobb, Alex",502171,28,151.1,646,131,37,20.3,5.7,65,69,7,7,3.87,28,89.8,33.1,7,43.4,78.16247498,94.95925757,21.7,44.9,57.8
"Anderson, Chase",502624,19,86.1,372,64,33,17.2,8.9,52,53,1,6,5.42,17,87.4,39.6,8.2,31.7,76.52185849,93.16658163,21.6,46.2,36.2
"Darvish, Yu",506433,24,136.1,573,141,42,24.6,7.3,69,71,8,10,4.56,24,88.4,33,6.8,38.2,77.26003358,93.94911879,25,46.4,42.7
"Alexander, Scott",518397,55,48.1,208,31,11,14.9,5.3,25,30,7,3,4.66,8,90.4,26.1,4.2,33.9,81.32804793,94.05981656,19.6,52.9,61.8
"Brasier, Ryan",518489,59,59.2,239,56,20,23.4,8.4,20,24,3,0,3.02,0,89.5,31.3,3.8,42.5,79.36549038,94.12021421,25.1,51.2,44.4
"Cruz, Fernando",518585,58,66,279,98,28,35.1,10,36,39,1,2,4.91,2,89.1,38.7,10,41.3,78.43675838,94.14339716,34.5,48.9,30.7
"Diekman, Jake",518617,63,56.2,243,64,38,26.3,15.6,21,29,0,2,3.34,0,84.6,29.3,5,27.1,72.78032913,92.23934861,26.2,41.1,46.4
"Kelly, Merrill",518876,30,177.2,721,187,68,25.9,9.4,65,71,12,8,3.29,30,89.6,35.1,7.8,41.8,78.63139686,94.55945668,27,49.1,45.7
"Kimbrel, Craig",518886,71,69,278,94,28,33.8,10.1,25,28,8,6,3.26,0,90.1,40.1,10.5,46.7,79.83437895,94.40482243,33,47.3,34.2
