Name,W,L,ERA,IP,H,R,ER,HR,BB,SO,HBP,BF,FIP,WHIP
Miles Mikolas,9,13,4.78,201.1,226,110,107,26,39,137,8,860,4.27,1.316
Logan Webb,11,13,3.25,216,201,83,78,20,31,194,5,850,3.16,1.074
Zac Gallen,17,9,3.47,210,188,87,81,22,47,220,5,846,3.26,1.119
Chris Bassitt,16,8,3.6,200,176,88,80,28,59,186,12,826,4.28,1.175
Mitch Keller,13,9,4.21,194.1,187,97,91,25,55,210,12,825,3.8,1.245
Gerrit Cole,15,4,2.63,209,157,64,61,20,48,222,7,821,3.16,0.981
Lance Lynn,13,11,5.73,183.2,189,127,117,44,67,191,9,808,5.53,1.394
Framber Valdez*,12,11,3.45,198,166,86,76,19,57,200,10,808,3.5,1.126
Kyle Gibson,15,9,4.73,192,198,101,101,23,55,157,6,807,4.13,1.318
Luis Castillo,14,9,3.34,197,160,81,73,28,56,219,5,802,3.81,1.096
Pablo López,11,8,3.66,194,176,81,79,24,48,234,9,801,3.33,1.155
Lucas Giolito,8,15,4.88,184.1,169,110,100,41,73,204,9,794,5.27,1.313
Aaron Nola,12,9,4.46,193.2,178,105,96,32,45,202,1,793,4.03,1.151
Patrick Corbin*,10,15,5.2,180,210,113,104,33,57,124,4,790,5.28,1.483
Zack Wheeler,13,6,3.61,192,168,82,77,20,39,212,9,787,3.15,1.078
Corbin Burnes,10,8,3.39,193.2,141,77,73,22,66,200,8,784,3.81,1.069
Dylan Cease,7,9,4.58,177,172,98,90,19,79,214,9,784,3.72,1.418
José Berríos,11,12,3.65,189.2,173,82,77,25,52,184,9,782,3.99,1.186
Johan Oviedo,9,14,4.31,177.2,161,91,85,19,83,158,13,781,4.49,1.373
Jordan Montgomery*,10,11,3.2,188.2,177,75,67,18,48,166,4,777,3.56,1.193
Logan Gilbert,13,7,3.73,190.2,169,82,79,29,36,189,2,770,3.85,1.075
LgAvg per 180 IP,10,10,4.37,180,171,95,87,25,67,175,9,770,4.36,1.321
Kevin Gausman,12,9,3.16,185,163,72,65,19,55,237,3,763,2.97,1.178
Spencer Strider,20,5,3.86,186.2,146,85,80,22,58,281,9,763,2.85,1.093
Sandy Alcántara,7,12,4.14,184.2,176,91,85,22,48,151,5,762,4.03,1.213
George Kirby,13,10,3.35,190.2,179,74,71,22,19,172,6,757,3.34,1.038
